"svchost.exe","10236","Services","0","9,436 K"
"svchost.exe","9968","Services","0","17,840 K"
"svchost.exe","10052","Services","0","7,068 K"
"dllhost.exe","10684","Services","0","8,556 K"
"LnvSvcFdn.exe","10760","Services","0","24,428 K"
"svchost.exe","10844","Services","0","6,320 K"
"WUDFHost.exe","10952","Services","0","6,168 K"
"svchost.exe","11192","Services","0","15,580 K"
"svchost.exe","2356","Services","0","28,800 K"
"Lenovo.Modern.ImController.exe","11436","Services","0","49,960 K"
"svchost.exe","11964","Services","0","17,400 K"
"svchost.exe","12216","Services","0","12,808 K"
"svchost.exe","10948","Services","0","34,364 K"
"wsctrl11.exe","14048","Services","0","8,980 K"
"wlanext.exe","13392","Services","0","4,412 K"
"SearchIndexer.exe","14584","Services","0","47,104 K"
"svchost.exe","18284","Services","0","13,472 K"
"SecurityHealthService.exe","14444","Services","0","26,408 K"
"svchost.exe","19120","Services","0","23,944 K"
"svchost.exe","10636","Services","0","7,656 K"
"DrClient.exe","4548","","1","20 K"
"svchost.exe","17816","Services","0","24,140 K"
"svchost.exe","17152","Services","0","29,976 K"
"svchost.exe","22080","Services","0","9,000 K"
"svchost.exe","23120","Services","0","13,276 K"
"UDClientService.exe","15296","Services","0","32,080 K"
"svchost.exe","21256","Services","0","12,680 K"
"svchost.exe","3912","Services","0","55,312 K"
"svchost.exe","19096","Services","0","12,020 K"
"svchost.exe","22308","Services","0","30,888 K"
"svchost.exe","3520","Services","0","5,852 K"
"svchost.exe","18080","Services","0","9,680 K"
"svchost.exe","5928","Services","0","17,880 K"
"svchost.exe","12660","Services","0","4,708 K"
"svchost.exe","20948","Services","0","8,924 K"
"vmcompute.exe","43032","Services","0","12,828 K"
"mysqld.exe","46732","Services","0","59,448 K"
"mysqld.exe","45284","Services","0","68,488 K"
"conhost.exe","45928","Services","0","7,248 K"
"svchost.exe","43892","Services","0","8,340 K"
"svchost.exe","67740","Services","0","5,532 K"
"svchost.exe","90912","Services","0","5,048 K"
"svchost.exe","169576","Services","0","9,900 K"
"svchost.exe","287520","Services","0","11,616 K"
"logi_lamparray_service.AMD64.exe","282672","Services","0","15,760 K"
"cpolar.exe","310748","Services","0","33,852 K"
"conhost.exe","291600","Services","0","11,568 K"
"csrss.exe","305780","Console","11","9,688 K"
"winlogon.exe","301760","Console","11","15,732 K"
"fontdrvhost.exe","302976","Console","11","111,944 K"
